Training_sample,Mean_kNN_distance
Train_189,0.23876088839121473
Train_190,0.10191911098464543
Train_191,0.31574493103467866
Train_192,0.17346162922903682
Train_193,0.547711742762325
Train_194,1.4188583517490945
Train_195,1.2285513244884274
Train_196,1.1950016523127425
Train_197,0.1657177694955018
Train_198,0.19374623700627386
Train_199,1.0758890954696108
Train_200,0.40707704148039037
Train_201,0.28727659939372907
Train_202,0.13017777772779487
Train_203,1.226403898650117
Train_204,0.08860786296343817
Train_205,0.050226061752039176
Train_206,0.09745300894908393
Train_207,0.9868073396984354
Train_208,0.13824941929410953
Train_209,0.07833986009400144
Train_210,0.21906279785297778
Train_211,0.039575552841020774
Train_212,1.155630926377756
Train_213,0.8932386199028045
Train_214,0.18137219814507088
Train_215,0.03343348300979756
Train_216,0.1131648820920352
Train_217,0.05814178272504724
Train_218,0.24117189971271982
Train_219,0.9701074309435425
Train_220,0.03820186547717216
Train_221,0.9188414681261406
Train_222,0.20466490401471366
Train_223,0.07712450835529662
Train_224,0.052420502635745936
Train_225,0.9210745777514809
Train_226,0.13753150166514388
Train_227,0.06798934310830895
Train_228,0.0748743158603765
Train_229,0.16113680026769422
Train_230,0.07211341036946735
Train_231,0.06648671400718649
Train_232,0.9758128278113076
Train_233,0.18458356914371268
Train_234,1.1945719616208073
Train_235,0.08513567264287551
Train_236,0.2348396418389068
Train_237,0.09052580715070169
Train_238,0.07145356481358622
Train_239,1.1556451723944026
Train_240,0.8743207090317904
Train_241,0.10493928012389797
Train_242,0.22446283807917097
Train_243,0.10563140581078242
Train_244,0.18258634990994088
Train_245,0.07626463054022899
Train_246,0.06659537568730914
Train_247,0.06675831836463003
Train_248,0.08221139406554127
Train_249,0.08705284199293686
Train_250,0.8806808483173916
Train_251,0.1001961025033808
Train_252,1.7537172574681807
Train_253,0.23275057230688517
Train_254,0.12515493247320514
Train_255,0.09710529959105826
Train_256,0.3230179639784265
Train_257,0.1086399765074157
Train_258,0.13807790689816954
Train_259,0.2672318661838601
Train_260,0.14705274160941575
Train_261,0.39755647692438023
Train_262,0.48851103959493936
Train_263,1.131370849898476
Train_264,0.8583684691024643
Train_265,0.9845767433851179
Train_266,0.48851103959493936
Train_267,0.06583143297327118
Train_268,0.06583143297327118
Train_269,0.06583143297327118
Train_270,0.06583143297327118
Train_271,0.8583684691024643
Train_272,0.9845767433851179
Train_273,0.8583684691024643
Train_274,0.2854053130345955
Train_275,1.4142135623730951
Train_276,1.131370849898476
Train_277,1.0691922032519652
Train_278,1.0691922032519652
Train_279,1.0691922032519652
Train_280,1.0691922032519652
Train_281,3.349065545793857
Train_282,2.921690169920688
Train_283,3.34820885512965
Train_284,2.2783613053332368
Train_285,2.2783613053332368
Train_286,2.9865501162934533
Train_287,2.331726626957008
Train_288,0.3223977974798602
Train_289,0.3223977974798602
Train_290,0.3223977974798602
Train_291,0.3223977974798602
Train_292,1.200126178493898
Train_293,1.2000140205166459
Train_294,0.3223977974798602
Train_295,1.200126178493898
Train_296,1.200126178493898
Train_297,1.2000140205166459
Train_298,1.2000140205166459
Train_299,0.0
Train_300,0.0
Train_301,0.0
Train_302,0.0
Train_303,0.0
Train_304,0.0
Train_305,0.0
Train_306,0.0
Train_307,0.0
Train_308,0.0
Train_309,0.0
Train_310,0.0
Train_311,0.0
Train_312,0.0
Train_313,0.0
Train_314,0.0
Train_315,0.0
Train_316,0.0
Train_317,0.0
