,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
O43866,0.07753185,0.06872459,0.04458592,0.04360833,0.026128372,0.02392159,0.024915418,0.035780583,0.034368552,0.030751761,0.021312134,0.042591494
P35527,0.13591732,0.07240884,0.045289285,0.040142175,0.026053336,0.024969818,0.016430778,0.015409807,0.026219368,0.014261365,0.081299886,0.017311063
Q92954,0.12487624,0.06618895,0.042239595,0.055844385,0.096100904,0.083686724,0.023778768,0.06526614,0.018560667,0.037326265,0.014926854,0.012920769
P02790,0.06682433,0.08037779,0.08632857,0.08330271,0.03933737,0.062298425,0.074409485,0.040359266,0.022745553,0.019392977,0.018550355,0.043375123
P00748,0.11291853,0.06453317,0.049408764,0.0620354,0.09912373,0.07231199,0.032997537,0.040899336,0.0477087,0.018232565,0.023244662,0.014341688
P81605,0.06326213,0.061707538,0.053776056,0.046069507,0.03817729,0.038169257,0.027595555,0.017868593,0.0195012,0.034671225,0.048697922,0.032432795
P00751,0.08358233,0.06991239,0.07607199,0.07322999,0.029353594,0.06009715,0.020081747,0.024815593,0.024114816,0.024157248,0.029105121,0.030147016
P02745,0.08567102,0.07738103,0.058836363,0.051269006,0.046034783,0.017676476,0.021651387,0.015499887,0.039286137,0.008758295,0.02421118,0.017560234
P18065,0.113637865,0.023036357,0.044726852,0.07624455,0.045754638,0.09183515,0.033317383,0.03233903,0.03498228,0.04754467,0.022807237,0.033331692
P01615,0.047448065,0.03453643,0.043211196,0.06865772,0.021386098,0.0564021,0.07933122,0.03308807,0.017368227,0.030449396,0.052603453,0.037507575
P49908,0.12386872,0.06434146,0.04912018,0.062684976,0.13421635,0.06730059,0.052493848,0.038558688,0.035887152,0.026159963,0.021591818,0.017247312
Q13790,0.12592575,0.057231117,0.038048614,0.030744862,0.058922194,0.0179935,0.02544422,0.04793955,0.046011753,0.024788294,0.033164993,0.024618467
P02774,0.08763214,0.06928231,0.065025955,0.04912021,0.056236826,0.036174342,0.07499673,0.047443114,0.03689119,0.032235667,0.022286907,0.019974517
P12259,0.12368773,0.07560207,0.044464123,0.05573497,0.04056975,0.0767421,0.09001692,0.06952419,0.02427152,0.029159736,0.014930768,0.021312784
Q13103,0.09368561,0.07219184,0.041595306,0.0754516,0.051213086,0.025095481,0.02567848,0.033106904,0.058428932,0.02698792,0.031363703,0.026818711
P15169,0.10709953,0.06258166,0.055769015,0.069261774,0.09633291,0.082166776,0.061723065,0.03943318,0.03982366,0.018452683,0.015576942,0.01776753
P20851,0.07933371,0.02928001,0.039709143,0.07380652,0.05177111,0.019127548,0.039451037,0.025846545,0.06741912,0.023759503,0.019165894,0.016334062
P07358,0.13013782,0.07911981,0.07009421,0.05739053,0.03714956,0.047373913,0.02868858,0.020196164,0.037531722,0.024680898,0.022556286,0.024465678
P01011,0.07869466,0.05890405,0.061756115,0.041696332,0.057545353,0.028905997,0.041846488,0.023136783,0.023992233,0.019309407,0.034228135,0.02160681
P02751,0.0888272,0.11926408,0.08535904,0.065237045,0.024060857,0.04698654,0.022737447,0.04494886,0.032544106,0.02165255,0.034631394,0.020373821
P07996,0.12473621,0.10352447,0.0970131,0.05916171,0.06504427,0.053330384,0.03623667,0.0374071,0.026978683,0.03787866,0.011703718,0.025099078
P02763,0.06977242,0.064849906,0.058246933,0.05455368,0.033287037,0.032744396,0.10757251,0.027319428,0.029703578,0.024325447,0.030367106,0.027908843
P09871,0.08135544,0.0969921,0.058411997,0.035198443,0.044372447,0.023806592,0.054897208,0.032738097,0.029462522,0.034135886,0.029317623,0.050313253
O75636,0.05781474,0.030801851,0.025863845,0.018615019,0.014729761,0.011161364,0.020476487,0.012909325,0.03591908,0.03699236,0.015299417,0.013668792
P01591,0.05765603,0.0628261,0.06343003,0.040726017,0.036996223,0.0391952,0.0425637,0.030403191,0.020208817,0.020450005,0.02089144,0.019951848
P00736,0.06533699,0.08866609,0.05457561,0.06577779,0.035604194,0.020953368,0.016419997,0.046314612,0.014007224,0.021362541,0.030853903,0.021976681
P07360,0.100497626,0.08453219,0.053604953,0.030978221,0.039482266,0.019340064,0.033385552,0.015736252,0.022918778,0.026253592,0.026820054,0.015462233
P02741,0.11472722,0.06356445,0.028156042,0.047912877,0.030546706,0.0179846,0.022686979,0.026336962,0.051301382,0.02132737,0.017035093,0.01447922
Q9UK55,0.13241158,0.06307261,0.03307644,0.063572094,0.04597092,0.034514632,0.036148693,0.038196366,0.05748285,0.025632167,0.04130382,0.020004297
P18428,0.11794841,0.10372293,0.06695201,0.0726757,0.047633342,0.040952466,0.021870574,0.057556797,0.028762091,0.025800478,0.023215262,0.024993937
Q5TB80,0.057545118,0.03923261,0.06909228,0.04585339,0.051142294,0.018917503,0.08957966,0.030470606,0.064474784,0.039877847,0.029881964,0.028784778
O95445,0.117847964,0.085780635,0.039186962,0.028091555,0.04164472,0.02541073,0.017293964,0.031342663,0.03269074,0.06931332,0.021366578,0.03549213
P17936,0.11268946,0.06425112,0.056224503,0.07589818,0.05992388,0.080535404,0.040949754,0.0410382,0.040538322,0.01959907,0.014422132,0.017543485
P08727,0.03588289,0.027261589,0.03432653,0.021449942,0.02294859,0.022372374,0.01907919,0.0098238755,0.029856082,0.030881276,0.0146408975,0.009838214
P00746,0.10986241,0.052608024,0.036929667,0.07816608,0.06558074,0.06968514,0.030456627,0.042644933,0.03593821,0.019195814,0.013459481,0.016512604
P67936,0.10797696,0.048238512,0.030888941,0.023838876,0.0155225145,0.014854263,0.03333946,0.022192169,0.028400812,0.015435919,0.050313026,0.015760988
P04406,0.08956752,0.049849786,0.059357982,0.057153814,0.05210755,0.066540346,0.064839885,0.024571577,0.024777515,0.037654668,0.04376939,0.020656161
P01700,0.050310027,0.04888871,0.050745018,0.036180492,0.027168602,0.039231718,0.05357042,0.031917833,0.0352237,0.021115605,0.028660025,0.022489328
P05452,0.07540513,0.0350279,0.03616532,0.030742288,0.037968688,0.047256883,0.020207006,0.020121474,0.03523735,0.025090193,0.02372696,0.032940507
P61626,0.07498281,0.037586994,0.05263359,0.026551967,0.017531067,0.044105746,0.05007673,0.022196501,0.031139106,0.0396638,0.022052476,0.023052711
P62805,0.06274939,0.031694505,0.041902263,0.019551042,0.018646453,0.04444772,0.037212633,0.019091247,0.042423233,0.031619675,0.021569679,0.017810768
P27918,0.061054163,0.053333957,0.04050342,0.029567689,0.017636321,0.02914755,0.01844081,0.020874865,0.038738765,0.026996303,0.012849023,0.018835317
P01031,0.1175791,0.08688225,0.067685135,0.03434807,0.04425185,0.018690538,0.016229693,0.020299453,0.03495569,0.037897203,0.029518422,0.022539306
Q9Y490,0.11471967,0.041960023,0.05098359,0.06062516,0.06136205,0.07173699,0.10873662,0.022597129,0.02415195,0.026955927,0.055864673,0.027791947
P61224,0.095622145,0.058246963,0.051583957,0.038686685,0.021309396,0.02446295,0.041724183,0.01595563,0.021445284,0.056376446,0.018093985,0.022193264
P13671,0.10628077,0.10526459,0.10134882,0.08326238,0.032131575,0.04340652,0.01618847,0.039532438,0.025614273,0.023561317,0.037608225,0.0329188
P80748,0.049547322,0.05735769,0.06083984,0.0361262,0.021864077,0.051184934,0.0859788,0.02343924,0.02181711,0.018173542,0.033451788,0.021052316
P09211,0.05195103,0.031650178,0.052278686,0.021609353,0.013133752,0.025341231,0.02677187,0.021211948,0.036490925,0.012920092,0.01757021,0.017214682
P01599,0.077007435,0.031898536,0.03820545,0.019459527,0.02776527,0.016347121,0.021951433,0.027737925,0.023910467,0.014497263,0.038522314,0.017134754
P07355,0.057223737,0.033343058,0.046285637,0.01987235,0.014472027,0.029266814,0.032490186,0.021984916,0.043737307,0.011528207,0.018361755,0.02020834
P01877,0.0741518,0.050314546,0.05211248,0.036791563,0.029762372,0.042377606,0.048651177,0.05301442,0.039853733,0.019957349,0.021695264,0.028050577
P08514,0.11082236,0.064541265,0.03191496,0.031213492,0.0655715,0.016627822,0.036728214,0.01783599,0.026319388,0.04900839,0.03777437,0.026467705
Q9BXR6,0.09369771,0.091331415,0.06025083,0.048329335,0.11441103,0.045882083,0.032302503,0.038147025,0.022390733,0.024457574,0.014939183,0.015816621
P63104,0.118672624,0.042631906,0.05321719,0.028557837,0.02093099,0.0334936,0.047370035,0.03416528,0.026467716,0.039329965,0.05620076,0.019503148
P04217,0.093514495,0.064918086,0.062286407,0.04580926,0.038913388,0.043356504,0.1349908,0.02558189,0.021840448,0.02694272,0.032666806,0.028599465
P01019,0.09059503,0.071252026,0.050237734,0.03932343,0.062345497,0.028891092,0.034128416,0.036914654,0.045153726,0.03223056,0.030204723,0.021893296
P36955,0.1152655,0.061098117,0.03902839,0.028904106,0.04209512,0.02095905,0.02178373,0.017957848,0.029091677,0.028751815,0.021522464,0.015190674
P35858,0.08637881,0.06539925,0.037741132,0.04143185,0.06338269,0.020731874,0.030191552,0.023143359,0.019440634,0.05891207,0.025882091,0.04708445
P05109,0.06744955,0.035907976,0.044885717,0.022030747,0.016921086,0.03691175,0.045269564,0.02369159,0.046761736,0.018048335,0.021998847,0.022206623
Q6Q788,0.1139197,0.09667552,0.054789364,0.047945198,0.033797853,0.027528113,0.028950486,0.05286724,0.028211948,0.049760398,0.01915549,0.038533002
P35442,0.044660944,0.03477135,0.031484086,0.012463598,0.008433401,0.0067775473,0.009694864,0.005700721,0.01721813,0.047739632,0.011765254,0.022218216
P02730,0.07474254,0.056125868,0.036119882,0.022661282,0.018346716,0.015031998,0.01466582,0.010582016,0.038840823,0.03566373,0.02256479,0.016312512
P35579,0.1094877,0.046429764,0.05013173,0.060324717,0.034421887,0.03724505,0.05348751,0.023984814,0.023413656,0.017288147,0.057590097,0.024196733
P60660,0.055835195,0.037606705,0.055621456,0.028504584,0.022197742,0.026110714,0.032143384,0.02560601,0.045266844,0.025064692,0.016225714,0.03474303
P08709,0.09130537,0.052135788,0.040319618,0.06451477,0.044802498,0.022809032,0.028249478,0.03704883,0.05193904,0.022331676,0.008735858,0.018983297
