Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
60,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.719313130228329e-08
61,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,4.276374809819572e-08
62,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.9947583140833558e-08
63,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.2837279562158983e-09
64,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.9710636678382798e-08
65,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,4.158652870955848e-07
66,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.6469598424228025e-07
67,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.66008928615247e-09
68,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.66008928615247e-09
69,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.115255553520768e-10
70,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,8.165447070496157e-06
71,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.687690343032955e-08
72,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.056053188288388e-08
73,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.910653718046774e-09
74,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.910653718046774e-09
75,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.910653718046774e-09
76,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.158332442078972e-06
77,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.158332442078972e-06
78,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.158332442078972e-06
79,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.158332442078972e-06
80,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,4.176982201897772e-06
1,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0006268468569032848
2,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00015293658361770213
3,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.6283546244721947e-07
4,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.8059841977446922e-07
5,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00013189668243285269
6,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0007697945693507791
7,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.0954600838886108e-05
8,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,2.219895031885244e-05
9,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,4.13624405837254e-08
10,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00014662211469840258
11,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00018862019351217896
12,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,7.080816430971026e-05
13,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.1363661542418413e-05
14,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.5729025335531333e-06
15,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.858796157554025e-06
16,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.5370721939689247e-07
17,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.179294362278597e-07
18,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,4.233269845776988e-10
19,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.220341386622749e-05
20,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,4.632576747098938e-06
21,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,6.039838922333729e-07
22,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.968246010619623e-08
23,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,4.300937507650815e-05
24,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,2.0174031305941753e-05
25,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.6232179405051284e-05
26,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.4054330626531737e-06
27,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.006758850533515215
28,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00011128103506052867
29,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00011128103506052867
30,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00010485827078809962
31,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.967649495782098e-06
32,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.3914885244048492e-07
