FPR,ROC_mean_TPR,ROC_CI95_lower,ROC_CI95_upper,Recall,PR_mean_precision,PR_CI95_lower,PR_CI95_upper
0.81,0.9938186462869314,0.9859386733190577,0.9980563891297145,0.81,0.6982102417112613,0.6200378844652082,0.7967960581442286
0.8150000000000001,0.9939911780101258,0.9864116934618572,0.998154166220496,0.8150000000000001,0.6923372670730806,0.6169107010060169,0.7937263824322679
0.8200000000000001,0.9941150131513786,0.9868569738121302,0.998274609307161,0.8200000000000001,0.6837975917038506,0.61387193824326,0.7886937165382318
0.8250000000000001,0.9941584718142041,0.9871362981626494,0.9983797573897709,0.8250000000000001,0.6819821138833904,0.61176523046551,0.7860634258933326
0.8300000000000001,0.994524595941683,0.9875269684415273,0.9984543634893666,0.8300000000000001,0.6789242430824408,0.6088048320704378,0.7847021114421402
0.835,0.9946318042422945,0.9881498837442394,0.9986049896114234,0.835,0.6719493140415472,0.6008544091191075,0.7773033498473643
0.84,0.9947700393882875,0.9884776339873066,0.9987068982807292,0.84,0.6691331450179013,0.5998448207357232,0.7755767861036639
0.845,0.9951709739784637,0.9887705924177588,0.9987330336028156,0.845,0.668242074324,0.5989730176965645,0.7738921957132918
0.85,0.9955723804181008,0.9890063766170368,0.9988823970165696,0.85,0.659737780472551,0.5930139949486798,0.7694419049556408
0.855,0.9955769614609128,0.9890760909223869,0.9989714313239911,0.855,0.6600926640202643,0.592406191290232,0.7683504212351325
0.86,0.996156255147403,0.9895496455772671,0.9991597174275199,0.86,0.6482916346333508,0.58733237220311,0.7624958812819542
0.865,0.9962735249438772,0.9899265206688523,0.9991988500782171,0.865,0.6467860209312799,0.5845857500564648,0.7602024245473046
0.87,0.9964423095991686,0.9900965377818141,0.9993412178104694,0.87,0.6410437345009867,0.5832960936267828,0.7566154202908429
0.875,0.996709160300802,0.9904137724753361,0.9994253322622364,0.875,0.6301408646965795,0.5756091986680392,0.750411979588489
0.88,0.9967568447918898,0.9907114371031497,0.9994412718889495,0.88,0.627490877169994,0.5752091891736112,0.7481660241453681
0.885,0.9968045292829776,0.9908622893831381,0.9995284616424001,0.885,0.6254543362142108,0.5722606810552964,0.7445168699105359
0.89,0.9968522137740653,0.9911572692974613,0.9996204175963016,0.89,0.6176757441024938,0.5667279404369534,0.7388443612052374
0.895,0.9968998982651531,0.9913695796819677,0.999671820835614,0.895,0.6163219077072234,0.5654827992180427,0.7370094395167734
0.9,0.996911663216011,0.9917338624361554,0.9997290803522968,0.9,0.6126292383000053,0.5601223596093675,0.7302387162919318
0.905,0.9969162442588229,0.9918880717976606,0.999760777636662,0.905,0.6123467203965408,0.5598263189322306,0.7287636202477563
0.91,0.9970032840722496,0.9920158915283778,0.9998310715245725,0.91,0.6017553528627533,0.5547246913149222,0.7235571458775617
0.915,0.9970032840722496,0.9921608449938947,0.9998958741509928,0.915,0.5976343457276891,0.5535912292220263,0.7212412484787224
0.92,0.9972906403940888,0.9922632004549441,1.0,0.92,0.5950013321407319,0.5487481471658321,0.7145272317982115
0.925,0.9972906403940888,0.9925742919763143,1.0,0.925,0.5938082573642689,0.5446056783493444,0.7091653727185026
0.93,0.9972906403940888,0.9927289348925642,1.0,0.93,0.5840894817802963,0.5420397053934721,0.7047364565920716
0.935,0.9972906403940888,0.9928091241565622,1.0,0.935,0.5752503734418618,0.5391573758906697,0.699959512583359
0.9400000000000001,0.9977011494252873,0.9931241512963396,1.0,0.9400000000000001,0.569845796257565,0.5353168547488665,0.6954899406069398
0.9450000000000001,0.9977011494252873,0.9932865825664846,1.0,0.9450000000000001,0.5612737922822556,0.5306979556720639,0.6904321515269027
0.9500000000000001,0.9977011494252873,0.9934807188262031,1.0,0.9500000000000001,0.5543014384176368,0.528141791741982,0.6843560349845939
0.9550000000000001,0.9977011494252873,0.9935343473154071,1.0,0.9550000000000001,0.5518707154185435,0.5250695837276942,0.6804900974172846
